"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse","training_time_ms","predict_time_per_row_ms"
"DeepLearning_grid__2_AutoML_20200520_134408_model_6",0.618746162701632,0.681220410392685,0.507322798598492,0.45081105661084,0.491090935137077,0.241170306573809,5281,0.002864
"GBM_grid__1_AutoML_20200520_134408_model_36",0.618319704529994,0.657550795658832,0.50290730533622,0.444498027889381,0.482224407095091,0.232540378798212,333,5.8E-4
"GBM_grid__1_AutoML_20200520_134408_model_50",0.616180626652967,0.658116118897243,0.494666364156395,0.440730334259643,0.482462317293583,0.232769887608294,228,5.85E-4
"DeepLearning_grid__3_AutoML_20200520_134408_model_5",0.615803305776017,0.706168982472633,0.501463408054468,0.454591080810628,0.492517357622812,0.242573347559757,6128,0.012628
"DeepLearning_grid__2_AutoML_20200520_134408_model_7",0.615648898038576,0.659791331900819,0.503335713480179,0.461295020415192,0.483460945293065,0.233734485623664,2709,0.009357
"GBM_grid__1_AutoML_20200520_134408_model_17",0.615532061853759,0.675893679919431,0.504600811413639,0.448630022692778,0.48890520164576,0.239028296196281,636,6.48E-4
"GBM_grid__1_AutoML_20200520_134408_model_7",0.615462265286008,0.663546801912024,0.49945685215468,0.453076030400277,0.484383378460262,0.234627257328577,228,5.96E-4
"GBM_grid__1_AutoML_20200520_134408_model_30",0.614938712740847,0.658997028700084,0.495660290946395,0.452785691079098,0.482873194660285,0.233166522121429,248,5.89E-4
"DeepLearning_grid__3_AutoML_20200520_134408_model_8",0.614580911775531,0.660514918991258,0.495099725307607,0.453736509137369,0.483808647300577,0.234070807202814,1238,0.003522
"DeepLearning_grid__2_AutoML_20200520_134408_model_10",0.613496863917413,0.659036138558373,0.492571516239344,0.449610389075611,0.483174629652648,0.233457722739974,347,9.35E-4
"XGBoost_1_AutoML_20200520_134408",0.612799466054172,0.674428809794854,0.501533285675092,0.457309168727526,0.488872490986481,0.238996312443327,1516,5.11E-4
"GBM_grid__1_AutoML_20200520_134408_model_12",0.612639277726911,0.673440704136057,0.497557378107833,0.467410054914135,0.488296091440887,0.238433072916447,379,7.05E-4
"GBM_grid__1_AutoML_20200520_134408_model_42",0.612621449229878,0.670767173769499,0.498369121618055,0.461724259798356,0.487210627441208,0.237374195491655,281,7.18E-4
"DeepLearning_grid__2_AutoML_20200520_134408_model_9",0.612584826453836,0.6658032923442,0.493610924915747,0.452481073448056,0.486356927264404,0.236543060698073,383,0.001206
"GBM_grid__1_AutoML_20200520_134408_model_16",0.612559374355511,0.660999865452124,0.497937943557946,0.462211994835118,0.483758593953245,0.234022377223621,713,7.28E-4
"GBM_grid__1_AutoML_20200520_134408_model_10",0.612470315860403,0.666616168647444,0.493494076994804,0.456555752191559,0.485554957618405,0.235763616867811,285,8.28E-4
"GBM_grid__1_AutoML_20200520_134408_model_32",0.612396035053085,0.663041412525943,0.493083968721605,0.458287781895666,0.484406515547323,0.234649672304699,363,7.69E-4
"XGBoost_grid__1_AutoML_20200520_134408_model_3",0.611793763914799,0.680302703222588,0.503119608431843,0.455897403276431,0.490885907092997,0.240968973782515,1399,6.39E-4
"GBM_grid__1_AutoML_20200520_134408_model_18",0.611724321556972,0.66225794866929,0.499626167666471,0.459330168611174,0.484182945554472,0.234433124765804,456,8.74E-4
"XGBoost_grid__1_AutoML_20200520_134408_model_4",0.611350905284497,0.677729948984542,0.498669982931328,0.453158982714474,0.489814613427531,0.239918355527161,1466,6.9E-4
"GBM_grid__1_AutoML_20200520_134408_model_31",0.610777117352407,0.673637392953402,0.494882250867446,0.459845107716656,0.488114252688529,0.238255523677681,438,7.91E-4
"GBM_grid__1_AutoML_20200520_134408_model_37",0.609283203403078,0.670707191476018,0.492987672494797,0.460369629154537,0.487438141009579,0.237595941310874,454,7.05E-4
"DeepLearning_grid__2_AutoML_20200520_134408_model_8",0.609196505961823,0.663064217596098,0.490563096270421,0.449635247229427,0.485035265407724,0.235259208689141,917,0.002955
"GBM_5_AutoML_20200520_134408",0.608353850092895,0.672721996467642,0.4929718751655,0.450927676287952,0.48812135204418,0.238262454321438,1324,6.48E-4
"GBM_grid__1_AutoML_20200520_134408_model_6",0.608208249490724,0.688266790370799,0.492853212450767,0.462829650256058,0.493509853814072,0.243551975811587,1081,6.61E-4
"GBM_grid__1_AutoML_20200520_134408_model_9",0.606713807752018,0.68041840420514,0.491775626202706,0.458767696110037,0.490866012572983,0.2409494422993,525,6.59E-4
